"latitude","longitude","potencia"
8.55766,-71.1936,-83
8.55766,-71.1936,-98
8.55766,-71.1936,-87
8.55766,-71.1936,-93.5
8.55766,-71.1936,-84
8.55769,-71.1923,-93
8.55769,-71.1923,-80.5
8.55769,-71.1923,-64
8.55769,-71.1923,-67.5
8.55769,-71.1923,-80.5
8.55769,-71.1923,-84.5
8.55769,-71.1923,-77
8.55769,-71.1923,-81
8.55769,-71.1923,-91.5
8.55769,-71.1923,-86
8.55769,-71.1923,-89
8.55769,-71.1923,-83
8.55769,-71.1923,-82
8.55769,-71.1923,-92.5
8.55769,-71.1923,-96
8.55769,-71.1923,-83
8.55769,-71.1923,-90
8.55769,-71.1923,-88
8.55769,-71.1923,-91.5
8.5577,-71.194,-86.5
8.5577,-71.194,-84
8.5577,-71.194,-85
8.5577,-71.194,-84
8.5577,-71.194,-73.5
8.5577,-71.194,-82
8.5577,-71.194,-84
8.5577,-71.194,-90.5
8.5577,-71.194,-87.5
8.5577,-71.194,-90.5
8.5577,-71.194,-86.5
8.5577,-71.194,-80.5
8.5577,-71.194,-88.5
8.5577,-71.194,-72.5
8.5577,-71.194,-81.5
8.5577,-71.194,-70.5
8.5577,-71.194,-88
8.5577,-71.194,-83
8.5577,-71.194,-92
8.55772,-71.1916,-84.5
8.55772,-71.1916,-83
8.55772,-71.1916,-84.5
8.55772,-71.1916,-89
8.55772,-71.1916,-88.5
8.55772,-71.1916,-92
8.55772,-71.1916,-86.5
8.55772,-71.1916,-88
8.55772,-71.1916,-92.5
8.55772,-71.1916,-91
8.55772,-71.1916,-92
8.55772,-71.1916,-91.5
8.55772,-71.1916,-97.5
8.55772,-71.1916,-90
8.55772,-71.1916,-92
8.55772,-71.1916,-93
8.55772,-71.1916,-72.5
8.55772,-71.1916,-91.5
8.55772,-71.1916,-86
8.55782,-71.1948,-82.5
8.55782,-71.1948,-82
8.55782,-71.1948,-79
8.55782,-71.1948,-74.5
8.55782,-71.1948,-77
8.55782,-71.1948,-79.5
8.55782,-71.1948,-77
8.55782,-71.1948,-81
8.55782,-71.1948,-77
8.55782,-71.1948,-89
8.55782,-71.1948,-78
8.55782,-71.1948,-91.5
8.55782,-71.1948,-91.5
8.55782,-71.1948,-88.5
8.55782,-71.1948,-90
8.55782,-71.1948,-83.5
8.55782,-71.1948,-87
8.55782,-71.1948,-73.5
8.55782,-71.1948,-75
8.55783,-71.1935,-92.5
8.55783,-71.1935,-81
8.55783,-71.1935,-90
8.55783,-71.1935,-91
8.55783,-71.1935,-61
8.55783,-71.1935,-88.5
8.55783,-71.1935,-86.5
8.55783,-71.1935,-93.5
8.55783,-71.1935,-89
8.55783,-71.1935,-90.5
8.55783,-71.1935,-90.5
8.55783,-71.1935,-95
8.55783,-71.1935,-95
8.55783,-71.1935,-98.5
8.55783,-71.1935,-93
8.55783,-71.1935,-87.5
8.55783,-71.1935,-91.5
8.55783,-71.1935,-73.5
8.55783,-71.1935,-90.5
8.55787,-71.1941,-98
8.55787,-71.1941,-84.5
8.55787,-71.1941,-101
8.55787,-71.1941,-90
8.55787,-71.1941,-105
8.55787,-71.1941,-102
8.55787,-71.1941,-96
8.55787,-71.1941,-95.5
8.55787,-71.1941,-85.5
8.55787,-71.1941,-84
8.55787,-71.1941,-99
8.55787,-71.1941,-99
8.55787,-71.1941,-100
8.55787,-71.1941,-100.5
8.55787,-71.1941,-95.5
8.55787,-71.1941,-97
8.55787,-71.1941,-107.5
8.55787,-71.1941,-97.5
8.55787,-71.1941,-101.5
8.55789,-71.1915,-73
8.55789,-71.1915,-70
8.55789,-71.1915,-70.5
8.55789,-71.1915,-68.5
8.55789,-71.1915,-72
8.55789,-71.1915,-76
8.55789,-71.1915,-82
8.55789,-71.1915,-74
8.55789,-71.1915,-92.5
8.55789,-71.1915,-77.5
8.55789,-71.1915,-89.5
8.55789,-71.1915,-79.5
8.55789,-71.1915,-87.5
8.55789,-71.1915,-85
8.55789,-71.1915,-83.5
8.55789,-71.1915,-80
8.55789,-71.1915,-78.5
8.55789,-71.1915,-71
8.55789,-71.1915,-72
8.55792,-71.1941,-77
8.55792,-71.1941,-76.5
8.55792,-71.1941,-77.5
8.55792,-71.1941,-79.5
8.55792,-71.1941,-79
8.55792,-71.1941,-75.5
8.55792,-71.1941,-75
8.55792,-71.1941,-74
8.55792,-71.1941,-71.5
8.55792,-71.1941,-73
8.55792,-71.1941,-73
8.55792,-71.1941,-87
8.55792,-71.1941,-65
8.55792,-71.1941,-86.5
8.55792,-71.1941,-68.5
8.55792,-71.1941,-84
8.55792,-71.1941,-89
8.55792,-71.1941,-85
8.55792,-71.1941,-82.5
8.55799,-71.1947,-90
8.55799,-71.1947,-96
8.55799,-71.1947,-96
8.55799,-71.1947,-97
8.55799,-71.1947,-100.5
8.55799,-71.1947,-98.5
8.55799,-71.1947,-101.5
8.55799,-71.1947,-105
8.55799,-71.1947,-94
8.55799,-71.1947,-100
8.55799,-71.1947,-93.5
8.55799,-71.1947,-100
